product_title,product_url,product_id,product_rating,product_reviews,current_price,reduction_percentage,old_price,store_rating,store_reviews,scraped_rating,scraped_reviews
"JEU D'AUTOCOLLANTS : 5, 10 ou 15 autocollants pour l'escalade et le bloc. Décalcomanies en vinyle imperméables pour équipement d'extérieur. Décorez votre ordinateur portable, votre notebook, votre robot",https://www.etsy.com/fr/listing/1586491059/jeu-dautocollants-5-10-ou-15,1586491059,,,3.95,0,0.0,4.7843,84,4.8,15.0
Stickers - The Knight and The Moth,https://www.etsy.com/fr/listing/4384203242/stickers-the-knight-and-the-moth,4384203242,,,3.5,0,0.0,4.9942,1900,5.0,3.0
"1000 pièces 3"" Étiquette en vinyle transparent personnalisée | Étiquettes personnalisées en vrac | Autocollants transparents avec logo | Autocollants transparents pour café | Autocollants pour gobelets",https://www.etsy.com/fr/listing/1494560646/1000-pieces-3-etiquette-en-vinyle,1494560646,,,71.98,0,0.0,4.9037,640,4.8,205.0
Autocollants Champignons | Ensemble d'autocollants Nature Botanique | Fournitures de scrapbooking et de journal,https://www.etsy.com/fr/listing/1521765366/autocollants-champignons-ensemble,1521765366,,,2.99,0,0.0,4.8794,828,5.0,60.0
Stickers prénoms - Autocollant prénoms,https://www.etsy.com/fr/listing/1678349256/stickers-prenoms-autocollant-prenoms,1678349256,,,0.5,0,0.0,4.9474,510,4.9,321.0
"Super abordable, 20/10/30/40/50 feuilles, autocollants de fleurs, décoration d'album photo, lot d'autocollants pour fille, feuille d'autocollants, cadeau pour elle, cadeau d'agenda",https://www.etsy.com/fr/listing/1424100676/super-abordable-2010304050-feuilles,1424100676,,,3.29,10,3.66,4.7454,18900,4.2,33.0
"50 stickers rétro pour journal, stickers esthétiques de scrapbooking, stickers bohèmes, stickers artistiques, stickers pour projets créatifs et bricolage",https://www.etsy.com/fr/listing/1856134485/50-stickers-retro-pour-journal-stickers,1856134485,,,3.1,62,8.17,4.8662,432,5.0,33.0
"3 feuilles d'autocollants mats, lot d'autocollants, lot d'autocollants, autocollants mignons, lot d'autocollants, lot d'autocollants pour agenda, autocollants pour carnet",https://www.etsy.com/fr/listing/1014722781/3-feuilles-dautocollants-mats-lot,1014722781,,,9.49,0,0.0,4.9913,4000,5.0,828.0
"Étiquettes autocollantes personnalisées – Stickers ronds 35 40 60 mm – Baptême, Baby Shower",https://www.etsy.com/fr/listing/4359118811/etiquettes-autocollantes-personnalisees,4359118811,,,0.17,6,0.18,4.8816,6400,4.9,17.0
AUTOCOLLANTS MÉLANGÉS Aufkleber Sticker Stickers ordinateur portable Planner Mystery Bundle Surprise Bag Überraschungspaket Sticker Set Motivation sarcastique,https://www.etsy.com/fr/listing/1863839618/autocollants-melanges-aufkleber-sticker,1863839618,,,2.92,25,3.9,4.7836,134,4.9,18.0
"Lot mystérieux d'autocollants roses Girly Romance, 5 ou 10 pièces | Romance rose | Livre | Livres | Lecture | Ensemble d'autocollants | Kindle | Bouteille d'eau",https://www.etsy.com/fr/listing/4303482528/lot-mysterieux-dautocollants-roses-girly,4303482528,,,0.7,0,0.0,4.984,424,4.9,16.0
"Autocollants personnalisés, Autocollants personnalisés, Autocollants en vinyle personnalisés, Vos photos comme autocollants, Imperméables, Autocollants individuels, Autocollants pour ordinateur portable",https://www.etsy.com/fr/listing/1671114612/autocollants-personnalises-autocollants,1671114612,,,0.66,34,1.0,4.9454,1000,4.9,248.0
Autocollants personnalisés Autocollants logo Autocollants personnalisés Autocollants transparents en feuille d'or,https://www.etsy.com/fr/listing/914759714/autocollants-personnalises-autocollants,914759714,,,2.37,40,3.95,4.8737,38900,5.0,204.0
"50 stickers pour vélo d'aventure, stickers pour vélo, stickers montagne, lot d'autocollants pour casque, pack d'autocollants pour sports extrêmes bouteille d'eau, vélo",https://www.etsy.com/fr/listing/1823949253/50-stickers-pour-velo-daventure-stickers,1823949253,,,3.27,60,8.17,4.8758,751,5.0,2.0
"Stickers imperméables Fantasy National Park, Stickers aventure en vinyle pour les amateurs de fantastique, les paysages mystiques, les jeux de rôle sur table et les amateurs de nature",https://www.etsy.com/fr/listing/1865060952/stickers-impermeables-fantasy-national,1865060952,,,3.92,10,4.36,4.9477,19800,5.0,149.0
"50 autocollants gothiques vintage, autocollants tête de mort noir et blanc, autocollants punk rock, autocollants imperméables pour bagages, autocollants graffiti, autocollants rétro",https://www.etsy.com/fr/listing/4353944314/50-autocollants-gothiques-vintage,4353944314,,,6.46,50,12.91,4.9333,30,4.9,18.0
"60 autocollants et fragments de papier, série Retro Memories - scrapbooking, papeterie, journal, agenda, articles en papier",https://www.etsy.com/fr/listing/689926774/60-autocollants-et-fragments-de-papier,689926774,,,6.92,10,7.69,4.8845,6200,4.9,56.0
Autocollants de tarot | Ensemble d'autocollants Rider Waite Arcanes Majeurs | Fournitures de scrapbooking et de journal,https://www.etsy.com/fr/listing/4361484374/autocollants-de-tarot-ensemble,4361484374,,,2.99,0,0.0,4.8794,828,5.0,1.0
"Lot de 5 Stickers Holographiques au choix, Déco pour Ordinateur, Autocollant pour téléphone, Vinyle pailleté, Stickers étanches",https://www.etsy.com/fr/listing/1819480009/lot-de-5-stickers-holographiques-au,1819480009,,,5.0,0,0.0,5.0,42,5.0,12.0
"35 stickers japonais, culturels et excentriques pour le scrapbooking et le bricolage",https://www.etsy.com/fr/listing/4353630267/35-stickers-japonais-culturels-et,4353630267,,,10.52,0,0.0,4.9224,713,5.0,6.0
Étiquettes rondes autocollantes personnalisées – Mariage – Stickers 35 40 60 mm,https://www.etsy.com/fr/listing/4359113336/etiquettes-rondes-autocollantes,4359113336,,,0.17,6,0.18,4.8816,6400,5.0,11.0
Stickers prénoms - Autocollant prénoms,https://www.etsy.com/fr/listing/1816352235/stickers-prenoms-autocollant-prenoms,1816352235,,,0.5,0,0.0,4.9474,510,5.0,29.0
"Autocollant Boîte de Sardines – Sticker Fait Main en Mat, Brillant ou Holographique",https://www.etsy.com/fr/listing/1889004571/autocollant-boite-de-sardines-sticker,1889004571,,,2.0,0,0.0,4.9917,311,5.0,25.0
"50 autocollants d'art abstrait, autocollants colorés de style Matisse, autocollants esthétiques imperméables pour téléphone, journal, scrapbooking, travaux manuels",https://www.etsy.com/fr/listing/4344389639/50-autocollants-dart-abstrait,4344389639,,,4.6,55,10.22,4.9434,106,5.0,3.0
Stickers Dans les étoiles et le temps,https://www.etsy.com/fr/listing/1728663012/stickers-dans-les-etoiles-et-le-temps,1728663012,,,2.87,0,0.0,4.9667,1700,5.0,75.0
"Autocollants féministes, du Mois des fiertés, queer et pour la santé mentale | Ensemble personnalisé pour créations individuelles | Idée cadeau amusante et stimulante",https://www.etsy.com/fr/listing/1408182058/autocollants-feministes-du-mois-des,1408182058,,,6.5,0,0.0,4.9297,478,4.9,167.0
"Bordel, c'est fini. Sticker vinyle grenouille cow-girl :",https://www.etsy.com/fr/listing/4349810103/bordel-cest-fini-sticker-vinyle,4349810103,,,3.65,15,4.29,4.9922,1200,5.0,28.0
"46 pcs, autocollants floraux, flocons d'autocollants, autocollants floraux, fleurs épanouies, autocollant pour agenda, autocollant de scrapbooking, journal intime, lot d'autocollants",https://www.etsy.com/fr/listing/1683139346/46-pcs-autocollants-floraux-flocons,1683139346,,,2.42,10,2.69,4.7454,18900,4.8,15.0
"Autocollants transparents, Plantes et Fleurs – Autocollants, Papeterie, Journal, Agenda, Album photo, Plante, Fleur",https://www.etsy.com/fr/listing/956017492/autocollants-transparents-plantes-et,956017492,,,2.96,10,3.29,4.8845,6200,4.8,128.0
"QUESTIONS DE SANTÉ MENTALE, mélange d'autocollants, autocollants Aufkleber, autocollants pour ordinateur portable, autocollant de guérison, vous êtes important, la thérapie est cool, vous êtes fort, anxiété",https://www.etsy.com/fr/listing/4306336605/questions-de-sante-mentale-melange,4306336605,,,2.92,25,3.9,4.7836,134,5.0,5.0
"50 autocollants aléatoires pour plantes et chats, autocollants mignons pour les amoureux des chats, autocollants pour plantes, autocollants imperméables chatons pour journal, scrapbooking, travaux manuels",https://www.etsy.com/fr/listing/1879145947/50-autocollants-aleatoires-pour-plantes,1879145947,,,3.1,62,8.17,4.8662,432,4.7,12.0
"Lot de 100 autocollants mèmes drôles aléatoires, autocollants mèmes imperméables imperméables pour ordinateur portable, journal et bouteille d'eau, lot d'autocollants humoristiques, autocollants viraux",https://www.etsy.com/fr/listing/1853332995/lot-de-100-autocollants-memes-droles,1853332995,,,7.38,65,21.09,4.8386,923,4.6,43.0
"Livre d'autocollants esthétiques vintage, 50 pièces, journal indésirable, fournitures de scrapbooking éphémères Washi, autocollants déco forêt, animaux, fleurs océaniques",https://www.etsy.com/fr/listing/1183568292/livre-dautocollants-esthetiques-vintage,1183568292,,,4.03,25,5.37,4.8813,7100,4.9,70.0
"50 autocollants vintage de Tokyo, autocollants de billets de voyage au Japon, autocollants esthétiques japonais rétro, autocollants de collage pour cahiers, albums de coupures",https://www.etsy.com/fr/listing/4390842039/50-autocollants-vintage-de-tokyo,4390842039,,,3.89,50,7.79,4.8037,163,5.0,1.0
Jolie feuille d'autocollants de Noël | Stickers des fêtes et stickers festifs,https://www.etsy.com/fr/listing/4307453535/jolie-feuille-dautocollants-de-noel-o,4307453535,,,2.5,0,0.0,4.9348,95,5.0,4.0
"50 autocollants de Noël, autocollants esthétiques mignons, autocollants de Noël en pain d'épice, autocollants festifs de flocon de neige pour ordinateur portable, travaux manuels, album de scrapbooking",https://www.etsy.com/fr/listing/4384617395/50-autocollants-de-noel-autocollants,4384617395,,,7.38,65,21.09,4.8386,923,0.0,0.0
Tarot Card Stickers | 78 Rider Waite Cards for Beginner and Advanced Witch | Digital Witchy Printable Stickers,https://www.etsy.com/fr/listing/1669256348/tarot-card-stickers-78-rider-waite-cards,1669256348,,,3.24,70,10.8,4.8965,2100,4.9,123.0
