"Date,bag"
"Dec 2020,53"
"Jan 2021,44"
"Feb 2021,41"
"Mar 2021,45"
"Apr 2021,51"
"May 2021,53"
"Jun 2021,53"
"Jul 2021,55"
"Aug 2021,55"
"Sep 2021,50"
"Oct 2021,51"
"Nov 2021,59"
"Dec 2021,61"
"Jan 2022,56"
"Feb 2022,56"
"Mar 2022,59"
"Apr 2022,60"
"May 2022,62"
"Jun 2022,60"
"Jul 2022,67"
"Aug 2022,66"
"Sep 2022,59"
"Oct 2022,58"
"Nov 2022,65"
"Dec 2022,72"
"Jan 2023,62"
"Feb 2023,60"
"Mar 2023,61"
"Apr 2023,63"
"May 2023,65"
"Jun 2023,72"
"Jul 2023,71"
"Aug 2023,67"
"Sep 2023,62"
"Oct 2023,61"
"Nov 2023,73"
"Dec 2023,79"
"Jan 2024,62"
"Feb 2024,65"
"Mar 2024,67"
"Apr 2024,69"
"May 2024,73"
"Jun 2024,75"
"Jul 2024,78"
"Aug 2024,75"
"Sep 2024,71"
"Oct 2024,68"
"Nov 2024,79"
"Dec 2024,93"
"Jan 2025,74"
"Feb 2025,70"
"Mar 2025,73"
"Apr 2025,75"
"May 2025,83"
"Jun 2025,83"
"Jul 2025,92"
"Aug 2025,89"
"Sep 2025,77"
"Oct 2025,73"
"Nov 2025,90"
