"Date,cap"
"Dec 2020,61"
"Jan 2021,62"
"Feb 2021,68"
"Mar 2021,66"
"Apr 2021,72"
"May 2021,76"
"Jun 2021,70"
"Jul 2021,69"
"Aug 2021,62"
"Sep 2021,61"
"Oct 2021,65"
"Nov 2021,66"
"Dec 2021,61"
"Jan 2022,69"
"Feb 2022,69"
"Mar 2022,75"
"Apr 2022,74"
"May 2022,77"
"Jun 2022,74"
"Jul 2022,66"
"Aug 2022,70"
"Sep 2022,60"
"Oct 2022,66"
"Nov 2022,59"
"Dec 2022,61"
"Jan 2023,64"
"Feb 2023,68"
"Mar 2023,75"
"Apr 2023,71"
"May 2023,83"
"Jun 2023,72"
"Jul 2023,68"
"Aug 2023,66"
"Sep 2023,63"
"Oct 2023,65"
"Nov 2023,62"
"Dec 2023,67"
"Jan 2024,68"
"Feb 2024,75"
"Mar 2024,81"
"Apr 2024,77"
"May 2024,79"
"Jun 2024,77"
"Jul 2024,74"
"Aug 2024,74"
"Sep 2024,69"
"Oct 2024,72"
"Nov 2024,73"
"Dec 2024,76"
"Jan 2025,75"
"Feb 2025,78"
"Mar 2025,76"
"Apr 2025,78"
"May 2025,89"
"Jun 2025,84"
"Jul 2025,100"
"Aug 2025,90"
"Sep 2025,83"
"Oct 2025,80"
"Nov 2025,84"
