





"Date,phone case"
"Dec 2020,87"
"Jan 2021,69"
"Feb 2021,58"
"Mar 2021,66"
"Apr 2021,66"
"May 2021,62"
"Jun 2021,64"
"Jul 2021,66"
"Aug 2021,64"
"Sep 2021,64"
"Oct 2021,65"
"Nov 2021,75"
"Dec 2021,81"
"Jan 2022,74"
"Feb 2022,72"
"Mar 2022,69"
"Apr 2022,66"
"May 2022,65"
"Jun 2022,70"
"Jul 2022,70"
"Aug 2022,66"
"Sep 2022,62"
"Oct 2022,61"
"Nov 2022,69"
"Dec 2022,79"
"Jan 2023,66"
"Feb 2023,64"
"Mar 2023,61"
"Apr 2023,58"
"May 2023,56"
"Jun 2023,65"
"Jul 2023,63"
"Aug 2023,63"
"Sep 2023,63"
"Oct 2023,60"
"Nov 2023,70"
"Dec 2023,75"
"Jan 2024,65"
"Feb 2024,66"
"Mar 2024,59"
"Apr 2024,57"
"May 2024,59"
"Jun 2024,66"
"Jul 2024,65"
"Aug 2024,65"
"Sep 2024,68"
"Oct 2024,63"
"Nov 2024,79"
"Dec 2024,91"
"Jan 2025,70"
"Feb 2025,67"
"Mar 2025,68"
"Apr 2025,66"
"May 2025,67"
"Jun 2025,71"
"Jul 2025,90"
"Aug 2025,74"
"Sep 2025,80"
"Oct 2025,76"
"Nov 2025,94"
