"Date,canvas print"
"Dec 2020,90"
"Jan 2021,70"
"Feb 2021,71"
"Mar 2021,60"
"Apr 2021,60"
"May 2021,63"
"Jun 2021,58"
"Jul 2021,55"
"Aug 2021,61"
"Sep 2021,61"
"Oct 2021,62"
"Nov 2021,75"
"Dec 2021,74"
"Jan 2022,67"
"Feb 2022,69"
"Mar 2022,58"
"Apr 2022,64"
"May 2022,66"
"Jun 2022,63"
"Jul 2022,61"
"Aug 2022,65"
"Sep 2022,61"
"Oct 2022,63"
"Nov 2022,69"
"Dec 2022,77"
"Jan 2023,66"
"Feb 2023,64"
"Mar 2023,59"
"Apr 2023,68"
"May 2023,64"
"Jun 2023,61"
"Jul 2023,64"
"Aug 2023,66"
"Sep 2023,63"
"Oct 2023,63"
"Nov 2023,75"
"Dec 2023,87"
"Jan 2024,68"
"Feb 2024,69"
"Mar 2024,58"
"Apr 2024,63"
"May 2024,67"
"Jun 2024,61"
"Jul 2024,60"
"Aug 2024,74"
"Sep 2024,64"
"Oct 2024,60"
"Nov 2024,69"
"Dec 2024,85"
"Jan 2025,68"
"Feb 2025,70"
"Mar 2025,63"
"Apr 2025,61"
"May 2025,64"
"Jun 2025,64"
"Jul 2025,70"
"Aug 2025,71"
"Sep 2025,68"
"Oct 2025,64"
"Nov 2025,83"
