"Date,hat"
"Dec 2020,72"
"Jan 2021,57"
"Feb 2021,56"
"Mar 2021,59"
"Apr 2021,61"
"May 2021,66"
"Jun 2021,69"
"Jul 2021,63"
"Aug 2021,62"
"Sep 2021,61"
"Oct 2021,72"
"Nov 2021,75"
"Dec 2021,81"
"Jan 2022,66"
"Feb 2022,66"
"Mar 2022,68"
"Apr 2022,72"
"May 2022,74"
"Jun 2022,72"
"Jul 2022,69"
"Aug 2022,69"
"Sep 2022,66"
"Oct 2022,80"
"Nov 2022,73"
"Dec 2022,85"
"Jan 2023,60"
"Feb 2023,69"
"Mar 2023,69"
"Apr 2023,70"
"May 2023,72"
"Jun 2023,75"
"Jul 2023,71"
"Aug 2023,64"
"Sep 2023,72"
"Oct 2023,83"
"Nov 2023,76"
"Dec 2023,85"
"Jan 2024,62"
"Feb 2024,67"
"Mar 2024,71"
"Apr 2024,74"
"May 2024,78"
"Jun 2024,79"
"Jul 2024,73"
"Aug 2024,73"
"Sep 2024,76"
"Oct 2024,87"
"Nov 2024,86"
"Dec 2024,95"
"Jan 2025,74"
"Feb 2025,73"
"Mar 2025,77"
"Apr 2025,80"
"May 2025,83"
"Jun 2025,84"
"Jul 2025,88"
"Aug 2025,87"
"Sep 2025,79"
"Oct 2025,91"
"Nov 2025,88"
