date,frequency
Dec 2020,30
Jan 2021,26
Feb 2021,24
Mar 2021,29
Apr 2021,30
May 2021,31
Jun 2021,35
Jul 2021,54
Aug 2021,65
Sep 2021,36
Oct 2021,32
Nov 2021,38
Dec 2021,36
Jan 2022,34
Feb 2022,35
Mar 2022,37
Apr 2022,37
May 2022,43
Jun 2022,47
Jul 2022,65
Aug 2022,77
Sep 2022,40
Oct 2022,35
Nov 2022,38
Dec 2022,38
Jan 2023,35
Feb 2023,35
Mar 2023,38
Apr 2023,38
May 2023,40
Jun 2023,43
Jul 2023,67
Aug 2023,70
Sep 2023,41
Oct 2023,36
Nov 2023,41
Dec 2023,40
Jan 2024,34
Feb 2024,36
Mar 2024,36
Apr 2024,37
May 2024,40
Jun 2024,46
Jul 2024,78
Aug 2024,79
Sep 2024,42
Oct 2024,36
Nov 2024,39
Dec 2024,44
Jan 2025,34
Feb 2025,34
Mar 2025,38
Apr 2025,38
May 2025,42
Jun 2025,52
Jul 2025,100
Aug 2025,91
Sep 2025,46
Oct 2025,36
Nov 2025,43
