date,frequency
Dec 2020,92
Jan 2021,54
Feb 2021,49
Mar 2021,37
Apr 2021,34
May 2021,34
Jun 2021,31
Jul 2021,33
Aug 2021,34
Sep 2021,37
Oct 2021,47
Nov 2021,72
Dec 2021,78
Jan 2022,58
Feb 2022,46
Mar 2022,39
Apr 2022,33
May 2022,34
Jun 2022,33
Jul 2022,37
Aug 2022,36
Sep 2022,38
Oct 2022,49
Nov 2022,68
Dec 2022,85
Jan 2023,47
Feb 2023,43
Mar 2023,38
Apr 2023,35
May 2023,34
Jun 2023,36
Jul 2023,38
Aug 2023,40
Sep 2023,43
Oct 2023,50
Nov 2023,73
Dec 2023,82
Jan 2024,58
Feb 2024,43
Mar 2024,40
Apr 2024,37
May 2024,38
Jun 2024,38
Jul 2024,41
Aug 2024,44
Sep 2024,42
Oct 2024,49
Nov 2024,69
Dec 2024,89
Jan 2025,62
Feb 2025,47
Mar 2025,40
Apr 2025,37
May 2025,38
Jun 2025,36
Jul 2025,42
Aug 2025,44
Sep 2025,43
Oct 2025,52
Nov 2025,81
