date,frequency
Dec 2020,45
Jan 2021,43
Feb 2021,40
Mar 2021,43
Apr 2021,39
May 2021,36
Jun 2021,38
Jul 2021,38
Aug 2021,45
Sep 2021,43
Oct 2021,47
Nov 2021,55
Dec 2021,52
Jan 2022,61
Feb 2022,57
Mar 2022,52
Apr 2022,54
May 2022,51
Jun 2022,45
Jul 2022,48
Aug 2022,61
Sep 2022,57
Oct 2022,61
Nov 2022,69
Dec 2022,65
Jan 2023,71
Feb 2023,62
Mar 2023,59
Apr 2023,54
May 2023,51
Jun 2023,46
Jul 2023,48
Aug 2023,57
Sep 2023,54
Oct 2023,59
Nov 2023,68
Dec 2023,62
Jan 2024,68
Feb 2024,60
Mar 2024,56
Apr 2024,51
May 2024,49
Jun 2024,42
Jul 2024,48
Aug 2024,59
Sep 2024,55
Oct 2024,60
Nov 2024,70
Dec 2024,66
Jan 2025,68
Feb 2025,58
Mar 2025,55
Apr 2025,52
May 2025,49
Jun 2025,44
Jul 2025,56
Aug 2025,62
Sep 2025,59
Oct 2025,63
Nov 2025,73
