date,frequency
Dec 2020,64
Jan 2021,70
Feb 2021,75
Mar 2021,72
Apr 2021,68
May 2021,57
Jun 2021,44
Jul 2021,39
Aug 2021,66
Sep 2021,89
Oct 2021,72
Nov 2021,65
Dec 2021,54
Jan 2022,71
Feb 2022,74
Mar 2022,69
Apr 2022,77
May 2022,67
Jun 2022,49
Jul 2022,44
Aug 2022,81
Sep 2022,100
Oct 2022,87
Nov 2022,75
Dec 2022,61
Jan 2023,70
Feb 2023,80
Mar 2023,66
Apr 2023,66
May 2023,58
Jun 2023,46
Jul 2023,42
Aug 2023,76
Sep 2023,90
Oct 2023,86
Nov 2023,70
Dec 2023,58
Jan 2024,71
Feb 2024,78
Mar 2024,65
Apr 2024,68
May 2024,56
Jun 2024,41
Jul 2024,40
Aug 2024,78
Sep 2024,93
Oct 2024,81
Nov 2024,73
Dec 2024,64
Jan 2025,71
Feb 2025,76
Mar 2025,64
Apr 2025,69
May 2025,58
Jun 2025,44
Jul 2025,44
Aug 2025,80
Sep 2025,96
Oct 2025,92
Nov 2025,72
