date,frequency
Dec 2020,55
Jan 2021,35
Feb 2021,30
Mar 2021,27
Apr 2021,23
May 2021,21
Jun 2021,17
Jul 2021,19
Aug 2021,24
Sep 2021,31
Oct 2021,41
Nov 2021,59
Dec 2021,61
Jan 2022,42
Feb 2022,36
Mar 2022,30
Apr 2022,27
May 2022,22
Jun 2022,19
Jul 2022,20
Aug 2022,25
Sep 2022,32
Oct 2022,45
Nov 2022,55
Dec 2022,66
Jan 2023,43
Feb 2023,39
Mar 2023,35
Apr 2023,30
May 2023,25
Jun 2023,23
Jul 2023,27
Aug 2023,31
Sep 2023,38
Oct 2023,49
Nov 2023,70
Dec 2023,75
Jan 2024,51
Feb 2024,45
Mar 2024,38
Apr 2024,32
May 2024,26
Jun 2024,24
Jul 2024,26
Aug 2024,33
Sep 2024,41
Oct 2024,53
Nov 2024,80
Dec 2024,93
Jan 2025,57
Feb 2025,50
Mar 2025,39
Apr 2025,35
May 2025,29
Jun 2025,26
Jul 2025,32
Aug 2025,36
Sep 2025,40
Oct 2025,52
Nov 2025,77
