date,frequency
Dec 2020,97
Jan 2021,60
Feb 2021,58
Mar 2021,53
Apr 2021,50
May 2021,51
Jun 2021,46
Jul 2021,43
Aug 2021,47
Sep 2021,46
Oct 2021,50
Nov 2021,71
Dec 2021,92
Jan 2022,65
Feb 2022,56
Mar 2022,54
Apr 2022,55
May 2022,51
Jun 2022,49
Jul 2022,47
Aug 2022,51
Sep 2022,50
Oct 2022,52
Nov 2022,70
Dec 2022,89
Jan 2023,58
Feb 2023,54
Mar 2023,52
Apr 2023,54
May 2023,50
Jun 2023,50
Jul 2023,47
Aug 2023,93
Sep 2023,56
Oct 2023,56
Nov 2023,70
Dec 2023,100
Jan 2024,65
Feb 2024,56
Mar 2024,50
Apr 2024,51
May 2024,50
Jun 2024,51
Jul 2024,46
Aug 2024,49
Sep 2024,53
Oct 2024,54
Nov 2024,73
Dec 2024,100
Jan 2025,62
Feb 2025,54
Mar 2025,49
Apr 2025,52
May 2025,51
Jun 2025,50
Jul 2025,53
Aug 2025,51
Sep 2025,50
Oct 2025,54
Nov 2025,76
