date,frequency
Dec 2020,66
Jan 2021,58
Feb 2021,59
Mar 2021,64
Apr 2021,69
May 2021,72
Jun 2021,78
Jul 2021,76
Aug 2021,80
Sep 2021,82
Oct 2021,85
Nov 2021,82
Dec 2021,79
Jan 2022,63
Feb 2022,68
Mar 2022,75
Apr 2022,75
May 2022,80
Jun 2022,89
Jul 2022,86
Aug 2022,86
Sep 2022,85
Oct 2022,86
Nov 2022,75
Dec 2022,78
Jan 2023,64
Feb 2023,71
Mar 2023,72
Apr 2023,80
May 2023,84
Jun 2023,92
Jul 2023,95
Aug 2023,90
Sep 2023,85
Oct 2023,89
Nov 2023,76
Dec 2023,81
Jan 2024,64
Feb 2024,77
Mar 2024,76
Apr 2024,79
May 2024,87
Jun 2024,100
Jul 2024,94
Aug 2024,97
Sep 2024,90
Oct 2024,90
Nov 2024,80
Dec 2024,85
Jan 2025,65
Feb 2025,73
Mar 2025,81
Apr 2025,83
May 2025,88
Jun 2025,96
Jul 2025,99
Aug 2025,100
Sep 2025,95
Oct 2025,93
Nov 2025,81
