date,frequency
Dec 2020,67
Jan 2021,39
Feb 2021,37
Mar 2021,35
Apr 2021,34
May 2021,34
Jun 2021,33
Jul 2021,35
Aug 2021,36
Sep 2021,36
Oct 2021,42
Nov 2021,61
Dec 2021,67
Jan 2022,45
Feb 2022,40
Mar 2022,40
Apr 2022,38
May 2022,36
Jun 2022,40
Jul 2022,38
Aug 2022,41
Sep 2022,36
Oct 2022,45
Nov 2022,62
Dec 2022,78
Jan 2023,41
Feb 2023,40
Mar 2023,38
Apr 2023,38
May 2023,36
Jun 2023,38
Jul 2023,36
Aug 2023,40
Sep 2023,41
Oct 2023,46
Nov 2023,66
Dec 2023,75
Jan 2024,45
Feb 2024,39
Mar 2024,40
Apr 2024,38
May 2024,40
Jun 2024,38
Jul 2024,39
Aug 2024,42
Sep 2024,40
Oct 2024,45
Nov 2024,62
Dec 2024,80
Jan 2025,45
Feb 2025,41
Mar 2025,42
Apr 2025,39
May 2025,40
Jun 2025,42
Jul 2025,44
Aug 2025,47
Sep 2025,43
Oct 2025,50
Nov 2025,67
