date,frequency
Dec 2020,58
Jan 2021,65
Feb 2021,59
Mar 2021,67
Apr 2021,66
May 2021,66
Jun 2021,65
Jul 2021,66
Aug 2021,69
Sep 2021,63
Oct 2021,58
Nov 2021,60
Dec 2021,59
Jan 2022,69
Feb 2022,67
Mar 2022,71
Apr 2022,72
May 2022,72
Jun 2022,70
Jul 2022,73
Aug 2022,73
Sep 2022,67
Oct 2022,64
Nov 2022,61
Dec 2022,66
Jan 2023,63
Feb 2023,68
Mar 2023,73
Apr 2023,72
May 2023,73
Jun 2023,73
Jul 2023,76
Aug 2023,76
Sep 2023,71
Oct 2023,68
Nov 2023,69
Dec 2023,67
Jan 2024,70
Feb 2024,78
Mar 2024,78
Apr 2024,78
May 2024,76
Jun 2024,82
Jul 2024,86
Aug 2024,85
Sep 2024,77
Oct 2024,81
Nov 2024,83
Dec 2024,79
Jan 2025,81
Feb 2025,80
Mar 2025,84
Apr 2025,84
May 2025,86
Jun 2025,89
Jul 2025,96
Aug 2025,100
Sep 2025,87
Oct 2025,87
Nov 2025,85
