date,frequency
Dec 2020,27
Jan 2021,22
Feb 2021,22
Mar 2021,25
Apr 2021,28
May 2021,32
Jun 2021,35
Jul 2021,38
Aug 2021,44
Sep 2021,43
Oct 2021,37
Nov 2021,49
Dec 2021,59
Jan 2022,53
Feb 2022,59
Mar 2022,62
Apr 2022,67
May 2022,65
Jun 2022,64
Jul 2022,70
Aug 2022,76
Sep 2022,66
Oct 2022,61
Nov 2022,74
Dec 2022,97
Jan 2023,76
Feb 2023,73
Mar 2023,74
Apr 2023,70
May 2023,75
Jun 2023,73
Jul 2023,73
Aug 2023,71
Sep 2023,67
Oct 2023,58
Nov 2023,75
Dec 2023,86
Jan 2024,66
Feb 2024,64
Mar 2024,67
Apr 2024,62
May 2024,67
Jun 2024,69
Jul 2024,71
Aug 2024,79
Sep 2024,69
Oct 2024,61
Nov 2024,74
Dec 2024,89
Jan 2025,67
Feb 2025,62
Mar 2025,64
Apr 2025,74
May 2025,73
Jun 2025,72
Jul 2025,89
Aug 2025,90
Sep 2025,65
Oct 2025,60
Nov 2025,83
