date,frequency
Dec 2020,84
Jan 2021,100
Feb 2021,87
Mar 2021,80
Apr 2021,79
May 2021,75
Jun 2021,72
Jul 2021,76
Aug 2021,83
Sep 2021,79
Oct 2021,72
Nov 2021,83
Dec 2021,73
Jan 2022,90
Feb 2022,84
Mar 2022,79
Apr 2022,69
May 2022,67
Jun 2022,66
Jul 2022,77
Aug 2022,78
Sep 2022,69
Oct 2022,65
Nov 2022,72
Dec 2022,69
Jan 2023,81
Feb 2023,74
Mar 2023,72
Apr 2023,68
May 2023,62
Jun 2023,68
Jul 2023,76
Aug 2023,73
Sep 2023,68
Oct 2023,65
Nov 2023,75
Dec 2023,68
Jan 2024,75
Feb 2024,66
Mar 2024,70
Apr 2024,68
May 2024,62
Jun 2024,68
Jul 2024,72
Aug 2024,79
Sep 2024,73
Oct 2024,64
Nov 2024,80
Dec 2024,79
Jan 2025,82
Feb 2025,76
Mar 2025,71
Apr 2025,70
May 2025,69
Jun 2025,73
Jul 2025,81
Aug 2025,79
Sep 2025,69
Oct 2025,70
Nov 2025,84
