product_title,product_url,product_id,product_rating,product_reviews,current_price,reduction_percentage,old_price,store_rating,store_reviews
"JEU D'AUTOCOLLANTS : 5, 10 ou 15 autocollants pour l'escalade et le bloc. Décalcomanies en vinyle imperméables pour équipement d'extérieur. Décorez votre ordinateur portable, votre notebook, votre robot",https://www.etsy.com/fr/listing/1586491059/jeu-dautocollants-5-10-ou-15,1586491059,4.8,15,3.95,0,0,4.7843,84
Stickers - The Knight and The Moth,https://www.etsy.com/fr/listing/4384203242/stickers-the-knight-and-the-moth,4384203242,5,3,3.5,0,0,4.9942,1900
"1000 pièces 3"" Étiquette en vinyle transparent personnalisée | Étiquettes personnalisées en vrac | Autocollants transparents avec logo | Autocollants transparents pour café | Autocollants pour gobelets",https://www.etsy.com/fr/listing/1494560646/1000-pieces-3-etiquette-en-vinyle,1494560646,4.8,205,71.98,0,0,4.9037,640
Autocollants Champignons | Ensemble d'autocollants Nature Botanique | Fournitures de scrapbooking et de journal,https://www.etsy.com/fr/listing/1521765366/autocollants-champignons-ensemble,1521765366,5,60,2.99,0,0,4.8794,828
Stickers prénoms - Autocollant prénoms,https://www.etsy.com/fr/listing/1678349256/stickers-prenoms-autocollant-prenoms,1678349256,4.9,321,0.5,0,0,4.9474,510
"Super abordable, 20/10/30/40/50 feuilles, autocollants de fleurs, décoration d'album photo, lot d'autocollants pour fille, feuille d'autocollants, cadeau pour elle, cadeau d'agenda",https://www.etsy.com/fr/listing/1424100676/super-abordable-2010304050-feuilles,1424100676,4.2,33,3.29,10,3.66,4.7454,18900
"50 stickers rétro pour journal, stickers esthétiques de scrapbooking, stickers bohèmes, stickers artistiques, stickers pour projets créatifs et bricolage",https://www.etsy.com/fr/listing/1856134485/50-stickers-retro-pour-journal-stickers,1856134485,5,33,3.1,62,8.17,4.8662,432
"3 feuilles d'autocollants mats, lot d'autocollants, lot d'autocollants, autocollants mignons, lot d'autocollants, lot d'autocollants pour agenda, autocollants pour carnet",https://www.etsy.com/fr/listing/1014722781/3-feuilles-dautocollants-mats-lot,1014722781,5,828,9.49,0,0,4.9913,4000
"Étiquettes autocollantes personnalisées – Stickers ronds 35 40 60 mm – Baptême, Baby Shower",https://www.etsy.com/fr/listing/4359118811/etiquettes-autocollantes-personnalisees,4359118811,4.9,17,0.17,6,0.18,4.8816,6400
AUTOCOLLANTS MÉLANGÉS Aufkleber Sticker Stickers ordinateur portable Planner Mystery Bundle Surprise Bag Überraschungspaket Sticker Set Motivation sarcastique,https://www.etsy.com/fr/listing/1863839618/autocollants-melanges-aufkleber-sticker,1863839618,4.9,18,2.92,25,3.9,4.7836,134
"Lot mystérieux d'autocollants roses Girly Romance, 5 ou 10 pièces | Romance rose | Livre | Livres | Lecture | Ensemble d'autocollants | Kindle | Bouteille d'eau",https://www.etsy.com/fr/listing/4303482528/lot-mysterieux-dautocollants-roses-girly,4303482528,4.9,16,0.7,0,0,4.984,424
"Autocollants personnalisés, Autocollants personnalisés, Autocollants en vinyle personnalisés, Vos photos comme autocollants, Imperméables, Autocollants individuels, Autocollants pour ordinateur portable",https://www.etsy.com/fr/listing/1671114612/autocollants-personnalises-autocollants,1671114612,4.9,248,0.66,34,1,4.9454,1000
Autocollants personnalisés Autocollants logo Autocollants personnalisés Autocollants transparents en feuille d'or,https://www.etsy.com/fr/listing/914759714/autocollants-personnalises-autocollants,914759714,5,204,2.37,40,3.95,4.8737,38900
"50 stickers pour vélo d'aventure, stickers pour vélo, stickers montagne, lot d'autocollants pour casque, pack d'autocollants pour sports extrêmes bouteille d'eau, vélo",https://www.etsy.com/fr/listing/1823949253/50-stickers-pour-velo-daventure-stickers,1823949253,5,2,3.27,60,8.17,4.8758,751
"Stickers imperméables Fantasy National Park, Stickers aventure en vinyle pour les amateurs de fantastique, les paysages mystiques, les jeux de rôle sur table et les amateurs de nature",https://www.etsy.com/fr/listing/1865060952/stickers-impermeables-fantasy-national,1865060952,5,149,3.92,10,4.36,4.9477,19800
"50 autocollants gothiques vintage, autocollants tête de mort noir et blanc, autocollants punk rock, autocollants imperméables pour bagages, autocollants graffiti, autocollants rétro",https://www.etsy.com/fr/listing/4353944314/50-autocollants-gothiques-vintage,4353944314,4.9,18,6.46,50,12.91,4.9333,30
"60 autocollants et fragments de papier, série Retro Memories - scrapbooking, papeterie, journal, agenda, articles en papier",https://www.etsy.com/fr/listing/689926774/60-autocollants-et-fragments-de-papier,689926774,4.9,56,6.92,10,7.69,4.8845,6200
